"Wall of mammary branch of right axillary artery",50000001
"Lumen of mammary branch of right axillary artery",50000002
"Wall of thyrocervical artery",50000003
"Lumen of thyrocervical artery",50000004
"Wall of trunk of left lingual artery",50000005
"Lumen of trunk of left lingual artery",50000006
"Wall of segmental pulmonary artery",30000007
"Lumen of segmental pulmonary artery",50000008
"Wall of cutaneous branch of lateral branch of dorsal branch of left eleventh posterior intercostal artery",50000009
"Lumen of cutaneous branch of lateral branch of dorsal branch of left eleventh posterior intercostal artery",50000010
"Wall of anterior branch of lateral cutaneous branch of right first posterior intercostal artery",50000011
"Lumen of anterior branch of lateral cutaneous branch of right first posterior intercostal artery",50000012
"Wall of spinal branch of right second lumbar artery",50000013
"Lumen of spinal branch of right second lumbar artery",50000014
"Wall of branch of common interosseous artery",90000015
"Lumen of branch of common interosseous artery",50000016
"Wall of branch of left anterior choroidal artery to hypothalamus",50000017
"Lumen of branch of left anterior choroidal artery to hypothalamus",50000018
"Wall of postcentral branch of right fifth posterior intercostal artery",50000019
"Lumen of postcentral branch of right fifth posterior intercostal artery",50000020
"Wall of superior branch of left superior segmental artery",50000021
"Lumen of superior branch of left superior segmental artery",50000022
"Wall of trunk of third perforating femoral artery",50000023
"Lumen of trunk of third perforating femoral artery",50000024
"Wall of trunk of right superior temporal retinal artery",50000025
"Lumen of trunk of right superior temporal retinal artery",50000026
"Wall of articular branch of left descending genicular artery",50000027
"Lumen of articular branch of left descending genicular artery",50000028
"Wall of left transverse facial artery",50000029
"Lumen of left transverse facial artery",50000030
"Wall of temporo-occipital branch of left middle cerebral artery",50000031
"Lumen of temporo-occipital branch of left middle cerebral artery",50000032
"Wall of perforating branch of right posterior interosseous artery",50000033
"Lumen of perforating branch of right posterior interosseous artery",50000034
"Wall of branch of deep palmar arterial arch",50000035
"Lumen of branch of deep palmar arterial arch",50000036
"Wall of spinal branch of dorsal branch of third posterior intercostal artery",50000037
"Lumen of spinal branch of dorsal branch of third posterior intercostal artery",50000038
"Wall of left anterior medial malleolar artery",50000039
"Lumen of left anterior medial malleolar artery",50000040
"Wall of lateral branch of left superior cerebellar artery",50000041
"Lumen of lateral branch of left superior cerebellar artery",50000042
"Wall of trunk of branch of anterior ethmoidal artery",50000043
"Lumen of trunk of branch of anterior ethmoidal artery",50000044
"Wall of lateral branch of left anterior basal segmental artery",50000045
"Lumen of lateral branch of left anterior basal segmental artery",50000046
"Wall of muscular branch of occipital artery",50000047
"Lumen of muscular branch of occipital artery",50000048
"Wall of muscular branch of collateral branch of right sixth posterior intercostal artery",50000049
"Lumen of muscular branch of collateral branch of right sixth posterior intercostal artery",50000050
"Wall of trunk of pectoralis major muscle branch of left lateral thoracic artery",50000051
"Lumen of trunk of pectoralis major muscle branch of left lateral thoracic artery",50000052
"Wall of posterior division of right internal iliac artery",50000053
"Lumen of posterior division of right internal iliac artery",50000054
"Wall of dorsal digital artery of right fifth toe",50000055
"Lumen of dorsal digital artery of right fifth toe",50000056
"Wall of trunk of anastomotic branch of left middle meningeal artery with left lacrimal artery",50000057
"Lumen of trunk of anastomotic branch of left middle meningeal artery with left lacrimal artery",50000058
"Wall of right medial circumflex femoral artery",50000059
"Lumen of right medial circumflex femoral artery",50000060
"Wall of left obturator artery",50000061
"Lumen of left obturator artery",50000062
"Wall of lower lobar branch of pulmonary artery",50000063
"Lumen of lower lobar branch of pulmonary artery",50000064
"Wall of right first superficial digital artery",50000065
"Lumen of right first superficial digital artery",50000066
"Wall of trunk of muscular branch of right occipital artery",50000067
"Lumen of trunk of muscular branch of right occipital artery",50000068
"Wall of trunk of left deep external pudendal artery proper",50000069
"Lumen of trunk of left deep external pudendal artery proper",50000070
"Wall of trunk of branch of sural artery",50000071
"Lumen of trunk of branch of sural artery",50000072
"Wall of postlaminar branch of dorsal branch of first lumbar artery",50000073
"Lumen of postlaminar branch of dorsal branch of first lumbar artery",50000074
"Wall of posterior branch of posteromedial central branch of left posterior communicating artery",50000075
"Lumen of posterior branch of posteromedial central branch of left posterior communicating artery",50000076
"Wall of radicular branch of spinal branch of right fourth lumbar artery",50000077
"Lumen of radicular branch of spinal branch of right fourth lumbar artery",50000078
"Wall of trunk of parietal branch of superficial temporal artery",50000079
"Lumen of trunk of parietal branch of superficial temporal artery",50000080
"Wall of trunk of left inferior thyroid artery",50000081
"Lumen of trunk of left inferior thyroid artery",50000082
"Wall of posterior vestibular branch of left vestibulocochlear artery",50000083
"Lumen of posterior vestibular branch of left vestibulocochlear artery",50000084
"Wall of alar branch of left superior labial artery",50000085
"Lumen of alar branch of left superior labial artery",50000086
"Wall of trunk of left inferior ulnar collateral artery",50000087
"Lumen of trunk of left inferior ulnar collateral artery",50000088
"Wall of distal portion of anterior interventricular branch of left coronary artery",50000089
"Lumen of distal portion of anterior interventricular branch of left coronary artery",50000090
"Wall of pharyngeal mucosal branch of right ascending pharyngeal artery",50000091
"Lumen of pharyngeal mucosal branch of right ascending pharyngeal artery",50000092
"Wall of muscular branch of lateral branch of dorsal branch of right second lumbar artery",50000093
"Lumen of muscular branch of lateral branch of dorsal branch of right second lumbar artery",50000094
"Wall of terminal superficial branch of left supra-orbital artery",50000095
"Lumen of terminal superficial branch of left supra-orbital artery",50000096
"Wall of pharyngeal branch of artery of left pterygoid canal",50000097
"Lumen of pharyngeal branch of artery of left pterygoid canal",50000098
"Wall of recurrent atrioventricular branch of right coronary artery",50000099
"Lumen of recurrent atrioventricular branch of right coronary artery",50000100
"Wall of trunk of circumflex fibular artery",50000101
"Lumen of trunk of circumflex fibular artery",50000102
"Wall of dorsal branch of ninth posterior intercostal artery",50000103
"Lumen of dorsal branch of ninth posterior intercostal artery",50000104
"Wall of left eleventh posterior intercostal artery",50000105
"Lumen of left eleventh posterior intercostal artery",50000106
"Wall of pericardiacophrenic artery",50000107
"Lumen of pericardiacophrenic artery",50000108
"Wall of branch of basilar artery",50000109
"Lumen of branch of basilar artery",50000110
"Wall of right deep brachial artery",50000111
"Lumen of right deep brachial artery",50000112
"Wall of anteromedial frontal branch of right callosomarginal artery",50000113
"Lumen of anteromedial frontal branch of right callosomarginal artery",50000114
"Wall of trunk of branch of long posterior ciliary artery to minor circulus arteriosus of iris",50000115
"Lumen of trunk of branch of long posterior ciliary artery to minor circulus arteriosus of iris",50000116
"Wall of postcentral branch of spinal branch of lumbar artery",50000117
"Lumen of postcentral branch of spinal branch of lumbar artery",50000118
"Wall of branch of left medial superior cerebellar artery to middle cerebellum",50000119
"Lumen of branch of left medial superior cerebellar artery to middle cerebellum",50000120
"Wall of anterior inferior cerebellar artery",50000121
"Lumen of anterior inferior cerebellar artery",50000122
"Wall of celiac artery",50000123
"Lumen of celiac artery",50000124
"Wall of dorsal branch of right first lumbar artery",50000125
"Lumen of dorsal branch of right first lumbar artery",50000126
"Wall of ventral branch of right third lumbar artery",50000127
"Lumen of ventral branch of right third lumbar artery",50000128
"Wall of muscular branch of left fifth posterior intercostal artery",50000129
"Lumen of muscular branch of left fifth posterior intercostal artery",50000130
"Wall of descending branch of posterior segmental artery of right lung",50000131
"Lumen of descending branch of posterior segmental artery of right lung",50000132
"Wall of saphenous branch of left descending genicular artery",50000133
"Lumen of saphenous branch of left descending genicular artery",50000134
"Wall of radicular branch of spinal branch of right third lumbar artery",50000135
"Lumen of radicular branch of spinal branch of right third lumbar artery",50000136
"Wall of muscular branch of lateral branch of dorsal branch of first posterior intercostal artery",50000137
"Lumen of muscular branch of lateral branch of dorsal branch of first posterior intercostal artery",50000138
"Wall of trunk of circumflex scapular artery",50000139
"Lumen of trunk of circumflex scapular artery",50000140
"Wall of left posterior lateral nasal artery",50000141
"Lumen of left posterior lateral nasal artery",50000142
"Wall of muscular branch of right vertebral artery",50000143
"Lumen of muscular branch of right vertebral artery",50000144
"Wall of left superior epigastric artery",50000145
"Lumen of left superior epigastric artery",50000146
"Wall of superior ulnar collateral artery",50000147
"Lumen of superior ulnar collateral artery",50000148
"Wall of branch of anterior choroidal artery to tail of caudate nucleus",50000149
"Lumen of branch of anterior choroidal artery to tail of caudate nucleus",50000150
"Wall of parotid branch of left posterior auricular artery",50000151
"Lumen of parotid branch of left posterior auricular artery",50000152
"Wall of trunk of left distal medial striate artery",50000153
"Lumen of trunk of left distal medial striate artery",50000154
"Wall of lateral proper palmar digital artery of left middle finger",50000155
"Lumen of lateral proper palmar digital artery of left middle finger",50000156
"Wall of costal branch of left eighth posterior intercostal artery",50000157
"Lumen of costal branch of left eighth posterior intercostal artery",50000158
"Wall of left middle colic artery",50000159
"Lumen of left middle colic artery",50000160
"Wall of plantar digital artery of left third toe",50000161
"Lumen of plantar digital artery of left third toe",50000162
"Wall of trunk of right distal medial striate artery",50000163
"Lumen of trunk of right distal medial striate artery",50000164
"Wall of interlobular branch of inferior segmental renal artery",50000165
"Lumen of interlobular branch of inferior segmental renal artery",50000166
"Wall of anteromedial central branch of anterior communicating artery",50000167
"Lumen of anteromedial central branch of anterior communicating artery",50000168
"Wall of trunk of vertebral artery",50000169
"Lumen of trunk of vertebral artery",50000170
"Wall of trunk of branch of left long posterior ciliary artery to major circulus arteriosus of iris",50000171
"Lumen of trunk of branch of left long posterior ciliary artery to major circulus arteriosus of iris",50000172
"Wall of sublingual artery",50000173
"Lumen of sublingual artery",50000174
"Wall of right sternal artery",50000175
"Lumen of right sternal artery",50000176
"Wall of trunk of cavernous branch of left internal carotid artery",50000177
"Lumen of trunk of cavernous branch of left internal carotid artery",50000178
"Wall of lateral branch of dorsal branch of eleventh posterior intercostal artery",50000179
"Lumen of lateral branch of dorsal branch of eleventh posterior intercostal artery",50000180
"Wall of left second superior phrenic artery",50000181
"Lumen of left second superior phrenic artery",50000182
"Wall of dorsal branch of right subcostal artery",50000183
"Lumen of dorsal branch of right subcostal artery",50000184
"Wall of anterior septal branch of anterior ethmoidal artery",50000185
"Lumen of anterior septal branch of anterior ethmoidal artery",50000186
"Wall of trunk of branch of dorsalis pedis artery",50000187
"Lumen of trunk of branch of dorsalis pedis artery",50000188
"Wall of recurrent branch of deep palmar arterial arch",50000189
"Lumen of recurrent branch of deep palmar arterial arch",50000190
"Wall of articular branch of dorsal branch of left tenth posterior intercostal artery",50000191
"Lumen of articular branch of dorsal branch of left tenth posterior intercostal artery",50000192
"Wall of caudal pancreatic artery",50000193
"Lumen of caudal pancreatic artery",50000194
"Wall of third septal branch of left posterior interventricular artery",50000195
