arterial_network,INSERT,{Trunk of right anterior choroidal artery;Trunk of branch of right anterior choroidal artery to red nucleus}
arterial_network,INSERT,{Trunk of left anterior choroidal artery;Trunk of branch of left anterior choroidal artery to genu of internal capsule}
arterial_network,INSERT,{Trunk of right anterior choroidal artery;Trunk of branch of right anterior choroidal artery to genu of internal capsule}
arterial_network,INSERT,{Trunk of left anterior choroidal artery;Trunk of branch of left anterior choroidal artery to retrolentiform limb of internal capsule}
arterial_network,INSERT,{Trunk of right anterior choroidal artery;Trunk of branch of right anterior choroidal artery to retrolentiform limb of internal capsule}
arterial_network,INSERT,{Trunk of right anterior choroidal artery;Trunk of branch of right anterior choroidal artery to posterior limb of internal capsule}
arterial_network,INSERT,{Trunk of left anterior choroidal artery;Trunk of branch of left anterior choroidal artery to posterior limb of internal capsule}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left superior temporal retinal vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left inferior temporal retinal vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left superior nasal retinal vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left inferior nasal retinal vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left superior macular vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left inferior macular vein}
venous_network,INSERT,{Trunk of left central retinal vein;Trunk of left middle macular vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right superior temporal retinal vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right inferior temporal retinal vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right superior nasal retinal vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right inferior nasal retinal vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right superior macular vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right inferior macular vein}
venous_network,INSERT,{Trunk of right central retinal vein;Trunk of right middle macular vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of superior temporal retinal vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of inferior temporal retinal vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of superior nasal retinal vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of inferior nasal retinal vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of superior macular vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of inferior macular vein}
venous_network,INSERT,{Trunk of central retinal vein;Trunk of middle macular vein}
venous_network,INSERT,{Trunk of left internal cerebral vein;Trunk of left superior choroid vein}
venous_network,INSERT,{Trunk of left internal cerebral vein;Trunk of left inferior choroid vein}
venous_network,INSERT,{Trunk of right internal cerebral vein;Trunk of right superior choroid vein}
venous_network,INSERT,{Trunk of right internal cerebral vein;Trunk of right inferior choroid vein}
venous_network,INSERT,{Trunk of left internal thoracic vein;Trunk of left musculophrenic vein}
venous_network,INSERT,{Trunk of right internal thoracic vein;Trunk of right musculophrenic vein}
venous_network,INSERT,{Trunk of left internal pudendal vein;Trunk of left inferior rectal vein}
venous_network,INSERT,{Trunk of right internal pudendal vein;Trunk of right inferior rectal vein}
venous_network,INSERT,{Trunk of left inferior epigastric vein;Venae comitantes of left inferior epigastric vein}
venous_network,INSERT,{Trunk of right inferior epigastric vein;Venae comitantes of right inferior epigastric vein}
arterial_network,INSERT,{Trunk of right coronary artery;Trunk of atrial branch of right coronary artery}
venous_network,INSERT,{Right atrium;Trunk of anterior cardiac vein}
venous_network,INSERT,{Trunk of splenic vein;Trunk of left gastroepiploic vein}
